names,labels
Akhila ,girl
Amrita ,girl
Anjana ,girl
Anju ,girl
Ajita ,girl
Akriti ,girl
Amiya ,girl
Aathmika ,girl
Abhiri ,girl
Anandita ,girl
Aadarshini ,girl
Abhilasha ,girl
Amolika ,girl
Akane ,girl
Ananda - Joy,girl
Aabharana ,girl
Aahna ,girl
Aasia,girl
Achira ,girl
Alka,girl
Ambuda ,girl
Andal ,girl
Amala ,girl
Ahalya ,girl
Akshara ,girl
Aadrika ,girl
Adya ,girl
Ami ,girl
Aastha ,girl
Amshula ,girl
Amritkala ,girl
Amlika ,girl
Aamaal ,girl
Amba ,girl
Akshi ,girl
Amisha ,girl
Aaral ,girl
Aayushi ,girl
Aaniya,girl
Aaradhya ,girl
Amrusha ,girl
Anisha ,girl
Abhimani ,girl
Ankolika ,girl
Anagi ,girl
Agrima ,girl
Aabha ,girl
Anantaa ,girl
Aloki ,girl
Amitrasudan ,girl
Ambar ,girl
Akanksha ,girl
Amara ,girl
Amoda ,girl
Anisa ,girl
Ahladita ,girl
Aarini ,girl
Alda ,girl
Aadita ,girl
Aamrapali ,girl
Aghanashini ,girl
Agriya ,girl
Ajaya ,girl
Ajala ,girl
Adhira ,girl
Amishi ,girl
Amrapali ,girl
Abhira ,girl
Alekhya ,girl
Ambuja ,girl
Ammu ,girl
Aanandamayee ,girl
Anjushri ,girl
Anchal ,girl
Almas ,girl
Anagha ,girl
Abirami ,girl
Amodini ,girl
Ananti ,girl
Anbar ,girl
Anjani ,girl
Abhirami ,girl
Aamani ,girl
Ambika ,girl
Adwita ,girl
Amishta,girl
Aishi ,girl
Akshainie ,girl
Amaris ,girl
Anjika ,girl
Anjali ,girl
Abhaya ,girl
Angoori ,girl
Adwitiya ,girl
Anindita ,girl
Anchala ,girl
Abhijaata ,girl
Amukta ,girl
Aadhya ,girl
Amita ,girl
Aashni ,girl
Alak ,girl
Aarati ,girl
Anahita ,girl
Ambu ,girl
Akshayaa ,girl
Anita ,girl
Alisha ,girl
Adrika ,girl
Ablaa ,girl
Aahlaadita ,girl
Adishakti ,girl
Anchita ,girl
Aanandita ,girl
Akshadha ,girl
Amoolya ,girl
Aniha ,girl
Ankal ,girl
Anangee ,girl
Ania ,girl
Aditi ,girl
Ajastha,girl
Aashi ,girl
Amritaya ,girl
Anjalee ,girl
Amulya ,girl
Aishwarya ,girl
Abhirupa ,girl
Anaamika ,girl
Anjini ,girl
Aaratrika ,girl
Aapti ,girl
Aashritha ,girl
Akshita ,girl
Akula ,girl
Amaldeepti ,girl
Angaja ,girl
Aaloka ,girl
Abhisarika ,girl
Adhishree ,girl
Amiti ,girl
Amlankusum ,girl
Analaa ,girl
Anavi,girl
Achala ,girl
Akshata ,girl
Aarna ,girl
Aja ,girl
Aatmaja ,girl
Angarika ,girl
Aniya ,girl
Agrata ,girl
Anandmayee ,girl
Aarushi ,girl
Akira ,girl
Amidi,girl
Agnishikha ,girl
Anarghya ,girl
Angha ,girl
Ankaiyarkanni ,girl
Aanandi ,girl
Alaknanda ,girl
Agamya ,girl
Amrutha ,girl
Amitjyoti ,girl
Abishta ,girl
Amal ,girl
Aarika ,girl
Aishani ,girl
Amvi ,girl
Anika ,girl
Anasuya ,girl
Achla ,girl
Ajaa ,girl
Akuti ,girl
Ahimsa ,girl
Abhiruchi ,girl
Aboli ,girl
Anima ,girl
Anamika ,girl
Anemone ,girl
Amithi ,girl
Alakananda ,girl
Adwiteya ,girl
Anjum ,girl
Anandani ,girl
Anilaja,girl
Alaina ,girl
Alpana ,girl
Aasha ,girl
Aashna ,girl
Amritrashmi ,girl
Alpita,girl
Abhijita ,girl
Alopa ,girl
Aashiyana ,girl
Anandi ,girl
Aakriti ,girl
Abha ,girl
Aakanksha ,girl
Aditri ,girl
Alankrita ,girl
Alpa ,girl
Aashalata ,girl
Amritambu ,girl
Ananya ,girl
Aarti ,girl
Angira ,girl
Alaka ,girl
Abhipsa ,girl
Abhitha ,girl
Anamitra ,girl
Ana ,girl
Amla ,girl
Ankita ,girl
Advika ,girl
Anishka ,girl
Angana ,girl
Aarohi ,girl
Aanchal ,girl
Ambaalika ,girl
Akashleena ,girl
Bhooma ,girl
Bishakha ,girl
Bansari ,girl
Bhagavathi ,girl
Bandhura ,girl
Bavishni ,girl
Bidisha,girl
Benaka,girl
Bhargavi ,girl
Bageshri ,girl
Bhuvi ,girl
Bhagyalakshmi ,girl
Brahmani ,girl
Basabi ,girl
Binita ,girl
Bhavi ,girl
Bhakti ,girl
Bhaumi ,girl
Bimbi ,girl
Beena ,girl
Bhandhavi,girl
Belli ,girl
Bharavi ,girl
Bheema ,girl
Banni ,girl
Bhoomi ,girl
Bodhi ,girl
Bhanuja ,girl
Bani ,girl
Bahugandha ,girl
Bakula ,girl
Bhadra ,girl
Bhavya ,girl
Bimala ,girl
Bryn ,girl
Bala ,girl
Bhrithi ,girl
Basanti ,girl
Brijabala ,girl
Bhanupriya ,girl
Babita ,girl
Banmala ,girl
Baka ,girl
Bhanumati ,girl
Bhama ,girl
Baruni ,girl
Bhumika ,girl
Bharati ,girl
Bandhavi ,girl
Bela ,girl
Bhavani ,girl
Bhagwati ,girl
Briti ,girl
Bhagyashri ,girl
Bahula ,girl
Barkha ,girl
Bhairavi ,girl
Banhi ,girl
Bijali ,girl
Bhanu ,girl
Baijanti / vaijanti ,girl
Bina ,girl
Bhanusri ,girl
Barsha ,girl
Bhupali ,girl
Bindhiya ,girl
Bhagirathi ,girl
Bakul ,girl
Bhagyawati ,girl
Bhavini ,girl
Bijal ,girl
Bel ,girl
Bhuvana ,girl
Brinda ,girl
Bhadrusha,girl
Bulbul ,girl
Bhagwanti ,girl
Bhanuni ,girl
Bijli ,girl
Bhavika ,girl
Bavishya ,girl
Bhavana ,girl
Bhavna ,girl
Bairavi ,girl
Bhawna ,girl
Bindu ,girl
Bipasha ,girl
Bhamini ,girl
Bhagini,girl
Chandini ,girl
Chanchal ,girl
Chaaya ,girl
Chandrajyoti ,girl
Charu ,girl
Chandrika ,girl
Chetana ,girl
Champa ,girl
Chinmayi ,girl
Chintanika ,girl
Chandrima ,girl
Chandrakala ,girl
Chetna ,girl
Chandrakali ,girl
Charmaine ,girl
Chaitaly ,girl
Cauvery ,girl
Chitralekha ,girl
Chaitanya ,girl
Chalama ,girl
Chakrika ,girl
Charunetra ,girl
Chakori ,girl
Chunni ,girl
Chitrathi ,girl
Chitrali ,girl
Chitrangada ,girl
Charumati ,girl
Chhavi ,girl
Chhaya ,girl
Chairavali ,girl
Champakmala ,girl
Chayla,girl
Chandrabha ,girl
Chitrani ,girl
Chitragandha ,girl
Chashmum ,girl
Chandana ,girl
Chane ,girl
Chaunta ,girl
Chitrita ,girl
Chatura ,girl
Chandra ,girl
Chandi ,girl
Chandrabhaga ,girl
Charulata ,girl
Charulekha ,girl
Chandan ,girl
